,id,name,amenity,geometry
277,3273700461,Pani,cafe,POINT (-58.3936026 -34.5892298)
278,3345974714,El Podio,cafe,POINT (-58.4294877 -34.6275211)
279,3346203790,Bonafide,cafe,POINT (-58.4383853 -34.6260227)
280,3368460297,Starbucks,cafe,POINT (-58.4207825 -34.56973)
281,3404451950,Viccenzo Helado & Café,cafe,POINT (-58.4802821 -34.5306506)
282,3416791033,Starbucks,cafe,POINT (-58.4258116 -34.5896775)
283,3416796206,Café Martínez,cafe,POINT (-58.4254884 -34.589307)
284,3416796207,Havanna,cafe,POINT (-58.4265404 -34.5887736)
285,3427843193,Ol'days,cafe,POINT (-58.3633935 -34.6111971)
286,3435754691,Havanna,cafe,POINT (-58.3819546 -34.5901403)
287,3435791198,Havanna,cafe,POINT (-58.3805914 -34.6067193)
288,3455724593,Traiano,cafe,POINT (-58.4043095 -34.586329)
289,3482789383,Erre,cafe,POINT (-58.4246854 -34.5851815)
290,3513155624,Suit Suit,cafe,POINT (-58.4539826 -34.551344)
291,3515699001,Módena,cafe,POINT (-58.4317415 -34.5789712)
292,3531392343,Ispica,cafe,POINT (-58.4289492 -34.5867189)
293,3556948599,Donato,cafe,POINT (-58.4329058 -34.5759062)
294,3556979093,Animalito Café,cafe,POINT (-58.4370889 -34.5738487)
295,3575666513,Rita Cafe,cafe,POINT (-58.428205 -34.590179)
296,3577244926,Rebelión,cafe,POINT (-58.427216 -34.5881589)
297,3600510122,Starbucks,cafe,POINT (-58.4359883 -34.5845677)
298,3611226742,Havanna,cafe,POINT (-58.4057852 -34.6368365)
299,3612822511,Trigal,cafe,POINT (-58.4341462 -34.5744391)
300,3641671993,Congreso Plaza,cafe,POINT (-58.3876745 -34.6101568)
301,3641671997,Las medialunas del Abuelo,cafe,POINT (-58.3863117 -34.6098946)
302,3644499923,Tiempos de Café,cafe,POINT (-58.4316644 -34.5690148)
303,3657604633,Montecarlo,cafe,POINT (-58.4337782 -34.5770333)
304,3675464868,Rio Cafe Bar,cafe,POINT (-58.4320517 -34.6038471)
305,3675631645,Tea Connection,cafe,POINT (-58.4568761 -34.5598912)
306,3679567025,Starbucks,cafe,POINT (-58.385841 -34.5958416)
307,3703854080,Starbucks,cafe,POINT (-58.3738113 -34.6063487)
308,3703859253,Pani,cafe,POINT (-58.3742158 -34.5997069)
309,3729723419,La Delizie,cafe,POINT (-58.4619044 -34.5565141)
310,3736842364,Snackbar,cafe,POINT (-58.3987651 -34.6316957)
311,3743593429,Café Martínez,cafe,POINT (-58.4552817 -34.631955)
312,3751761641,Don Blanco,cafe,POINT (-58.5203525 -34.6277517)
313,3765414358,Todo Kiosco,cafe,POINT (-58.4511766 -34.5669479)
314,3767790054,Hora Libre,cafe,POINT (-58.4159484 -34.5872419)
315,3789145354,Tirrenia,cafe,POINT (-58.453149 -34.5597858)
316,3795704746,Pani,cafe,POINT (-58.4381284 -34.5781921)
317,3795745293,Adorado,cafe,POINT (-58.4359424 -34.5797785)
318,3805664470,Felicidad,cafe,POINT (-58.4279306 -34.5886586)
319,3805736458,My Place,cafe,POINT (-58.4229242 -34.5774677)
320,3805736459,Bruna,cafe,POINT (-58.4223211 -34.5773299)
321,3808561912,Bonafide,cafe,POINT (-58.5175857 -34.6118425)
322,3808561917,Starbucks,cafe,POINT (-58.518008 -34.6114478)
323,3808561920,The Coffe Store,cafe,POINT (-58.5173933 -34.6117367)
324,3808581687,Cafe Boccazzi,cafe,POINT (-58.43723 -34.567865)
325,3810179958,Chips Cafe,cafe,POINT (-58.4036433 -34.5742315)
326,3810179975,Starbucks,cafe,POINT (-58.4036113 -34.5739481)
327,3814467297,Café Palacio,cafe,POINT (-58.4536816 -34.5843806)
328,3814813810,Sancho,cafe,POINT (-58.3482254 -34.6770497)
329,3817032993,Café Martínez,cafe,POINT (-58.3941173 -34.5890047)
330,3817032996,Starbucks,cafe,POINT (-58.3936911 -34.5891711)
331,3824251751,Havanna,cafe,POINT (-58.375365 -34.608488)
332,3837419043,Confitería,cafe,POINT (-58.5074826 -34.5896795)
333,3842039284,Havanna,cafe,POINT (-58.4450693 -34.5696461)
334,3855257503,Calypso,cafe,POINT (-58.38028 -34.613807)
335,3882750963,Spot,cafe,POINT (-58.3985562 -34.5859717)
336,3891039237,Havanna,cafe,POINT (-58.3812923 -34.6282858)
337,3892102628,La Cerrajeria,cafe,POINT (-58.4591089 -34.6234167)
338,3933985601,Giuseppe Helados & Café,cafe,POINT (-58.4376546 -34.634847)
339,3936618609,Intanto,cafe,POINT (-58.4421936 -34.5923858)
340,3979721653,La Junta de 1810,cafe,POINT (-58.3755556 -34.6084991)
341,4012943004,Starbucks,cafe,POINT (-58.4606855 -34.5577608)
342,4015133875,Café Martínez,cafe,POINT (-58.3911846 -34.6136516)
343,4015133877,Ebro: Restaurant Bar,cafe,POINT (-58.3914915 -34.6136649)
344,4045892028,Le Blé,cafe,POINT (-58.4501834 -34.5664043)
345,4053282436,Delicity,cafe,POINT (-58.4382232 -34.5632256)
346,4053283316,Maru Botana,cafe,POINT (-58.44193 -34.5690122)
347,4053283390,Mos,cafe,POINT (-58.442628 -34.5623599)
348,4055213841,Le Blé,cafe,POINT (-58.4525692 -34.5507097)
349,4058276774,Persicco,cafe,POINT (-58.3906808 -34.5877052)
350,4067052136,Sr. Manfredi,cafe,POINT (-58.477833 -34.5356747)
351,4089940881,Relax III,cafe,POINT (-58.3733237 -34.611313)
352,4095729692,Starbucks,cafe,POINT (-58.4141056 -34.5865515)
353,4103920642,Dulce Buenos Aires,cafe,POINT (-58.4603404 -34.5754658)
354,4119204909,Plaz,cafe,POINT (-58.4498515 -34.5545417)
355,4119204914,Starbucks,cafe,POINT (-58.4453863 -34.5596973)
356,4119205871,Méli Mélo,cafe,POINT (-58.4476868 -34.5570059)
357,4128775309,Tienda de Café,cafe,POINT (-58.3934887 -34.5960245)
358,4141058157,Pinot,cafe,POINT (-58.4167544 -34.5898363)
359,4143270062,Rotondo,cafe,POINT (-58.4133204 -34.5785654)
360,4145308841,Encuentros,cafe,POINT (-58.3921883 -34.7003691)
